id,start_time,end_time,lat,lon,median_distance_km,median_speed_knots,vessel_1_id,vessel_1_type,vessel_1_tileset,vessel_2_id,vessel_2_type,vessel_2_tileset
id--2791489323141574958,2012-12-12 19:00:00 UTC,2012-12-12 21:00:00 UTC,-35.02765007545,-56.0684921591,0.0254031483,0.0701714495,9ce4d61b-394f-c237-fdde-e2da00faa05,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-fed9-7e6dd61b0881,reefers,gfw-tasks-658-reefer-uvi-v2
id--4081249771116873896,2012-10-14 11:40:00 UTC,2012-10-14 14:00:00 UTC,38.63507173035,121.81672710435,0.0239227932,0.0265705187,9ce4d61b-394f-c237-491b-11e851a834e7,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-8de7-34bf0de2c5fb,reefers,gfw-tasks-658-reefer-uvi-v2
id-1583339764596475949,2012-05-06 02:00:00 UTC,2012-05-07 01:40:00 UTC,-62.7056044832343,-60.4675694494314,0.05923285375,0.0141007165,9ce4d61b-394f-c237-55fe-2335f8a664f9,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-8726-247300f953ae,reefers,gfw-tasks-658-reefer-uvi-v2
id--4525273042708059861,2012-06-29 20:00:00 UTC,2012-06-30 12:20:00 UTC,-4.1177367642255813,-175.11366599854651,0.0213790686,1.1590628562,9ce4d61b-394f-c237-6ddb-f58a6d9f8da5,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-8298-372ecd4d46d8,reefers,gfw-tasks-658-reefer-uvi-v2
id-1186691766262778802,2012-11-20 10:00:00 UTC,2012-11-20 12:40:00 UTC,-41.65901603555,-72.704340342700007,0.2174571293,0.00366621805,9ce4d61b-394f-c237-1b7d-1516339afa43,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-5dcd-88a973efddaa,reefers,gfw-tasks-658-reefer-uvi-v2
id-2811792386194638038,2012-02-06 18:40:00 UTC,2012-02-07 06:50:00 UTC,-8.1761918038,-120.36490851654999,0.0255142646,1.5005990247,9ce4d61b-394f-c237-200e-ea04bb2bdf40,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-2942-0f804d66184,reefers,gfw-tasks-658-reefer-uvi-v2
id-535673127651046752,2012-08-20 21:40:00 UTC,2012-08-22 01:10:00 UTC,-2.5357358838891053,168.91548870283151,0.0679512351,0.5178011012,9ce4d61b-394f-c237-6a64-91728bc73a91,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-6d41-71dfc90d9dfa,reefers,gfw-tasks-658-reefer-uvi-v2
id-1172049088376943516,2012-06-20 01:50:00 UTC,2012-06-20 20:40:00 UTC,-6.9331339831731578,-153.04258518414264,0.10610072144999999,1.5223959512,9ce4d61b-394f-c237-5685-484299b81feb,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-6d41-71dfc90d9dfa,reefers,gfw-tasks-658-reefer-uvi-v2
id--2889754679192773368,2012-07-20 20:20:00 UTC,2012-07-22 09:40:00 UTC,-1.5091921676577946,-153.25980031164218,0.0245750935,1.0593074115999999,9ce4d61b-394f-c237-13b4-416ba9963965,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-d30c-233e6059cd4c,reefers,gfw-tasks-658-reefer-uvi-v2
id--1938344534566158253,2012-10-26 18:20:00 UTC,2012-10-27 14:30:00 UTC,-2.2476725776833333,-154.90062586575002,0.0287280889,1.5515222967,9ce4d61b-394f-c237-9ef4-6d0e9b5f860f,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-b2c6-6df687180cb,reefers,gfw-tasks-658-reefer-uvi-v2
id--4407110838826635806,2012-11-05 05:20:00 UTC,2012-11-05 12:00:00 UTC,45.055674354363383,-66.7946462714648,0.0309998846,0.00548965915,9ce4d61b-394f-c237-63a2-a0e66928e708,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-7486-11430bc0493d,reefers,gfw-tasks-658-reefer-uvi-v2
id--980067990580510197,2012-12-29 01:50:00 UTC,2012-12-29 06:20:00 UTC,11.029176585899998,-61.6130928059,0.0439778549,0.85210358165,9ce4d61b-394f-c237-7420-ece203f317ac,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-7cb9-5f0fd800fed5,reefers,gfw-tasks-658-reefer-uvi-v2
